State,Cycle Year,Level,Seats,Institution,Institution Note,Party Control,Governor,Governor Role,Upper House,Upper House Role,Lower House,Lower House Role,Court Action,Passed,Start Date,End Date,Plan Status,Drawn by,Party drawing,SHPsource,GeoJSON,ZIP,PDF
CO,2010,State Upper,35,Politician commission,,Uncertain,D,No role,"20 D, 15 R",No role,"32 D, 33 R",No role,Court sent map back to commission,2011-09-19,2011-09-19,2011-12-12,Struck by state court,Politician commission,Uncertain,https://redistricting.colorado.gov/sites/redistricting/files/Senate%20Final%20Plan%20Shapefile_1.zip,co_2010_state_upper_2011-09-19.json,co_2010_state_upper_2011-09-19.zip,co_2010_state_upper_2011-09-19.pdf
CO,2010,State Upper,35,Politician commission,,Uncertain,D,No role,"20 D, 15 R",No role,"32 D, 33 R",No role,Court sent map back to commission,2011-12-12,2011-12-12,2021-11-15,Superseded,Politician commission,Uncertain,https://redistricting.colorado.gov/sites/redistricting/files/Final_Resubmitted_Senate_Plan_Shapefile.zip,co_2010_state_upper_2011-12-12.json,co_2010_state_upper_2011-12-12.zip,co_2010_state_upper_2011-12-12.pdf
CO,2010,State Lower,65,Politician commission,,Uncertain,D,No role,"20 D, 15 R",No role,"32 D, 33 R",No role,Court sent map back to commission,2011-09-19,2011-09-19,2011-12-12,Struck by state court,Politician commission,Uncertain,https://redistricting.colorado.gov/sites/redistricting/files/House%20Final%20Plan%20KMZ_1.zip,co_2010_state_lower_2011-09-19.json,co_2010_state_lower_2011-09-19.zip,co_2010_state_lower_2011-09-19.pdf
CO,2010,State Lower,65,Politician commission,,Uncertain,D,No role,"20 D, 15 R",No role,"32 D, 33 R",No role,Court sent map back to commission,2011-12-12,2011-12-12,2021-11-15,Superseded,Politician commission,Uncertain,https://redistricting.colorado.gov/sites/redistricting/files/Final_Resubmitted_House_Plan_Shapefile.zip,co_2010_state_lower_2011-12-12.json,co_2010_state_lower_2011-12-12.zip,co_2010_state_lower_2011-12-12.pdf
CO,2020,Congress,8,Independent commission,,Split,D,No role,"20 D, 15 R",No role,"41 D, 24 R",No role,,2021-10-01,2021-11-01,2022-03-18,Superseded,Independent commission,Nonpartisan,https://redistricting.colorado.gov/content/2021-redistricting-maps,co_2020_congress_2021-11-01.json,co_2020_congress_2021-11-01.zip,co_2020_congress_2021-11-01.pdf
CO,2020,Congress,8,Independent commission,,Split,D,No role,"20 D, 15 R",No role,"41 D, 24 R",No role,,2022-03-18,2022-03-18,2031-06-30,Active,Independent commission,Nonpartisan,,co_2020_congress_2022-03-18.json,co_2020_congress_2022-03-18.zip,co_2020_congress_2022-03-18.pdf
CO,2020,State Upper,35,Independent commission,,Split,D,No role,"20 D, 15 R",No role,"41 D, 24 R",No role,,2021-10-15,2021-11-15,2022-03-18,Superseded,Independent commission,Nonpartisan,https://redistricting.colorado.gov/content/2021-redistricting-maps,co_2020_state_upper_2021-11-15.json,co_2020_state_upper_2021-11-15.zip,co_2020_state_upper_2021-11-15.pdf
CO,2020,State Upper,35,Independent commission,,Split,D,No role,"20 D, 15 R",No role,"41 D, 24 R",No role,,2022-03-18,2022-03-18,2031-06-30,Active,Independent commission,Nonpartisan,,co_2020_state_upper_2022-03-18.json,co_2020_state_upper_2022-03-18.zip,co_2020_state_upper_2022-03-18.pdf
CO,2020,State Lower,65,Independent commission,,Split,D,No role,"20 D, 15 R",No role,"41 D, 24 R",No role,,2021-10-11,2021-10-11,2022-03-18,Superseded,Independent commission,Nonpartisan,https://redistricting.colorado.gov/content/2021-redistricting-maps,co_2020_state_lower_2021-10-11.json,co_2020_state_lower_2021-10-11.zip,co_2020_state_lower_2021-10-11.pdf
CO,2020,State Lower,65,Independent commission,,Split,D,No role,"20 D, 15 R",No role,"41 D, 24 R",No role,,2022-03-18,2022-03-18,2031-06-30,Active,Independent commission,Nonpartisan,,co_2020_state_lower_2022-03-18.json,co_2020_state_lower_2022-03-18.zip,co_2020_state_lower_2022-03-18.pdf
